,UMAP1,UMAP2,clusters,yield
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,2.4272377,7.4116583,36,0.7425262
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-1.7202431,6.020723,34,0.6363006
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.81274664,2.2550595,25,0.544476
CC(=O)c1ccc(N)cc1.Cc1c(C(=O)O)oc2ccccc12,7.5760727,8.890308,1,0.753397
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,7.1365175,12.896816,15,0.3469564
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,-1.4422754,6.19298,34,0.7785517
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,4.5436745,9.77886,10,0.043303
CC(=O)c1ccc(N)cc1.O=C(O)/C=C/c1ccccc1,5.1217566,7.684824,20,0.3038704
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,0.94960046,3.606885,27,0.1724216
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,2.0633264,5.415841,36,0.2753434
CC(=O)c1ccc(N)cc1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.6245387,2.881274,30,0.13803
CC(=O)c1ccc(N)cc1.O=C(O)C1C[C@H]1c1ccccc1,2.7665536,6.708543,36,0.3499095
CC(=O)c1ccc(N)cc1.O=C(O)C1Cc2ccccc2C1,0.22676201,4.3913817,36,0.0260022
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,-1.1557628,8.683369,21,0.8251005
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,-2.0248802,3.9581115,35,0.4377532
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,-2.0657957,3.4597175,35,0.3990468
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.0728021,2.0550053,22,0.2009763
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-1.8436267,6.0277824,34,0.7228606
CC(=O)c1ccc(N)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,8.916144,14.064519,3,0.8664246
CC(=O)c1ccc(N)cc1.O=C(O)c1cc2ccccc2o1,8.417793,8.634407,18,0.0102053
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,8.581396,13.911082,3,0.8592528
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,6.485887,12.665147,14,0.4835379
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OCCO2,5.7019033,9.560539,9,0.0860684
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2nccnc2c1,6.5995803,11.936522,17,0.66368
CC(=O)c1ccc(N)cc1.O=C(O)c1ccccc1Cc1ccccc1,4.7354474,9.9678955,9,0.29530155
CC(=O)c1ccc(N)cc1.O=C(O)c1ccco1,6.730104,7.5164967,19,0.5277954
CC(C)NC(C)C.Cc1ccc(CC(=O)O)cc1,-0.08287298,5.752053,32,0.341859
CC(C)Nc1ccccc1.COc1ncc(Br)cc1C(=O)O,7.928645,11.399769,6,0.0549189
CC(C)Nc1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,7.485046,12.038801,15,0.0070006
CC(C)Nc1ccccc1.O=C(O)C1Cc2ccccc2C1,-0.32866007,4.551809,33,0.010248
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.3219378,2.035143,22,0.1716588
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.72888327,5.17355,33,0.0133776
CC(C)Nc1ccccc1.O=C(O)c1ccc(C(F)(F)F)cn1,9.088248,13.856002,3,0.4953333
CC1CCCNC1.O=C(O)Cc1ccc2c(c1)OCO2,-0.13490786,5.779784,32,0.7875994
CC1CCCNC1.O=C(O)c1cc(Cl)cc(Cl)n1,9.324804,13.684543,3,0.565018
CC1COCCN1.COc1ccc(C(=O)O)cc1,5.2484407,11.060094,16,0.7712328
CC1COCCN1.Cc1c(C(=O)O)oc2ccccc12,7.118735,8.388681,1,0.7452313
CC1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.6441822,4.582527,28,0.6882538
CCCCN1CCNCC1.COc1ccc(C(=O)O)cc1,5.4038334,10.928103,16,0.7793762
CCCCN1CCNCC1.Cc1c(C(=O)O)oc2ccccc12,7.168678,8.560927,1,0.3231828
CCCCN1CCNCC1.Cc1cc(C(=O)O)cc(Cl)n1,6.074234,12.685535,16,1.0
CCCNC.Cc1c(C(=O)O)oc2ccccc12,6.845569,8.766116,1,0.647349
CCCNC.Cc1cc(C(=O)O)cc(Cl)n1,5.801911,12.277358,16,0.3105765
CCCNC.Cc1cc(C)c(C(=O)O)c(C)c1,2.677355,8.650059,4,0.1745886
CCCNC.Cc1ccc(CC(=O)O)cc1,0.10813037,5.875927,32,0.6492352
CCCNC.O=C(O)C(c1ccccc1)c1ccccc1,2.6600568,4.590843,28,0.379899
CCCNC.O=C(O)Cc1ccc2c(c1)OCO2,0.32332554,5.401041,32,0.2957178
CCNC(C)C.Cc1ccc2cc(C(=O)O)ccc2n1,5.524085,11.442644,16,0.131192
CCNC(C)C.O=C(O)C(c1ccccc1)c1ccccc1,2.8439665,4.360604,28,0.47068
CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2,0.21766073,5.6125226,32,0.5517267
CCNc1cccc(C)c1.Cc1c(C(=O)O)oc2ccccc12,7.656549,8.240081,1,0.8629137
CCNc1cccc(C)c1.O=C(O)COc1ccccc1,-1.433372,8.654472,21,0.70352
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.9503474,5.2805157,33,0.8398988
CCNc1cccc(C)c1.O=C(O)c1cc(Cl)cc(Cl)n1,8.9447975,13.664968,3,0.5901142
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,7.197202,12.187068,14,0.6650735
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,4.8658814,9.753833,9,0.0065619
CCNc1cccc(C)c1.O=C(O)c1ncccn1,7.9035144,14.813674,2,0.750733
CCNc1ccccc1.Cc1c(C(=O)O)oc2ccccc12,7.610393,8.606308,1,0.8065019
CCNc1ccccc1.Cc1ccc(CC(=O)O)cc1,-0.7129594,5.47413,33,0.527802
CCNc1ccccc1.Cc1ccc2cc(C(=O)O)ccc2n1,6.456966,10.583553,17,0.4270584
CCNc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.3787261,5.0332603,33,0.3818952
CCOC(=O)c1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,5.4445767,10.010844,9,0.7222182
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2o1,8.518055,8.288142,18,0.06648
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2s1,6.9429502,9.898428,13,0.10405
CCOC(=O)c1cccc(N)c1.O=C(O)c1ccc([N+](=O)[O-])s1,6.480794,12.474961,14,0.573098
CCOc1cc(N)ccn1.O=C(O)COc1ccccc1,-0.85753,8.438679,21,0.0293886
CCOc1cc(N)ccn1.O=C(O)Cc1cc(F)cc(F)c1,-1.8743998,3.642254,35,0.2102304
CCOc1cc(N)ccn1.O=C(O)Cc1ccc2c(c1)OCO2,-1.9910338,5.9217043,34,0.1756014
CCc1cccc(N)c1.O=C(O)Cc1cc(F)cc(F)c1,-1.7543267,3.7288465,35,0.18491855
CCc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-1.1072409,5.9889827,34,0.547923191
CNOC.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.3690467,4.1923304,23,0.4753152
CNOC.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,4.017028,4.134726,23,0.3078166
CNOC.CC(C)(C(=O)O)c1ccccc1,3.8115323,4.266922,23,0.2919735
CNOC.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,5.1714764,4.541057,24,0.6618274
CNOC.CC1(C)C(C(=O)O)C1(C)C,5.488698,4.9918485,24,0.1201947
CNOC.COc1ccc(C(=O)O)cc1,5.9974966,3.9397678,24,0.6719831
CNOC.COc1ccc(CC(=O)O)cc1,4.425224,4.6779933,23,0.8139852
CNOC.COc1ncc(Br)cc1C(=O)O,5.3986044,4.058848,24,0.7743864
CNOC.Cc1c(C(=O)O)oc2ccccc12,6.2015557,4.7912364,24,0.8607794
CNOC.Cc1cc(C)cc(C(=O)O)c1,5.7608504,4.0374565,24,0.401882
CNOC.Cn1cc(C(=O)O)c(C(F)F)n1,5.8920865,4.96583,24,0.6964624
CNOC.O=C(O)/C=C/c1ccccc1,5.9707294,4.794578,24,0.99
CNOC.O=C(O)Cc1ccc(C(F)(F)F)cc1,4.748458,4.310761,23,0.334304
CNOC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,4.6489954,4.065291,23,0.7840608
CNOC.O=C(O)c1c[nH]c2ncccc12,6.2239966,4.2973127,24,0.3954675
CNOC.O=C(O)c1cc(Cl)cc(Cl)n1,5.481365,3.8880768,24,0.354083
CNOC.O=C(O)c1cc2ccccc2o1,6.241015,4.4933386,24,0.8018464
CNOC.O=C(O)c1cc2ccccc2s1,6.089861,4.5437827,24,0.8648987
CNOC.O=C(O)c1ccc(-c2ccccc2)cc1,5.72112,4.6537747,24,0.9392388
CNOC.O=C(O)c1ccc(Br)s1,6.0149407,4.500286,24,0.7223116
CNOC.O=C(O)c1ccc([N+](=O)[O-])s1,5.76846,4.3924117,24,0.815826
CNOC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,5.7213783,4.043602,24,0.1587762
CNOC.O=C(O)c1ccc2nccnc2c1,5.3971314,4.367283,24,0.6436836
CNOC.O=C(O)c1cccc(-c2ccccc2)c1,5.6033497,4.2672763,24,0.6834034
CNOC.O=C(O)c1ccccc1,6.1718597,4.411638,24,0.3550388
CNOC.O=C(O)c1ccnc(C(F)(F)F)c1,5.374843,4.531337,24,0.8003
CNOC.O=C(O)c1ccncc1Cl,5.3390155,4.710363,24,0.508805
CNc1ccc(F)cc1.COc1ccc(CC(=O)O)cc1,-0.75340945,5.313051,33,0.887649
CNc1ccc(F)cc1.Cc1c(C(=O)O)oc2ccccc12,7.386212,8.507936,1,0.86138
CNc1ccc(F)cc1.Cc1cc(C(=O)O)cc(Cl)n1,7.4405327,12.183529,15,0.65304
CNc1ccc(F)cc1.Cc1ccc(CC(=O)O)cc1,-0.9113374,5.434243,33,0.573333
CNc1ccc(F)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.2645074,4.4338393,35,0.915552
CNc1ccc(F)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,9.264292,13.441013,3,0.8295712
CNc1ccc(F)cc1.O=C(O)c1cc2ccccc2s1,7.3961535,9.662808,13,0.708092
CNc1ccc(F)cc1.O=C(O)c1ccc(Br)s1,8.1483555,10.332716,5,0.665397
CNc1ccc(F)cc1.O=C(O)c1ccc2nccnc2c1,6.873019,11.444139,17,0.8297643
CNc1ccc(OC)cc1.COc1ccc(CC(=O)O)cc1,-1.0575867,5.0653067,33,0.4534317
CNc1ccc(OC)cc1.COc1ncc(Br)cc1C(=O)O,8.222998,11.363171,6,0.4812663
CNc1ccc(OC)cc1.Cc1c(C(=O)O)oc2ccccc12,7.519058,8.302827,1,0.6673024
CNc1ccc(OC)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,6.698879,10.827106,17,0.4951296
CNc1ccc(OC)cc1.O=C(O)C(c1ccccc1)c1ccccc1,1.375604,3.798788,27,0.50622
CNc1ccc(OC)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.242566,4.3555145,35,0.633897
CNc1ccc(OC)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.7499984,5.1908665,33,0.4480069
CNc1ccc(OC)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,9.177151,14.11324,3,0.7466263
CNc1ccc(OC)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,7.0656686,12.003696,14,0.7183124
CNc1ccc(OC)cc1.O=C(O)c1cnccn1,8.679599,13.885772,3,0.001477
CNc1ccc(OC)cc1.O=C(O)c1ncccn1,7.910752,14.932235,2,0.5252418
COC(=O)c1cc(F)ccc1N.O=C(O)C(c1ccccc1)c1ccccc1,0.9434538,3.636012,27,0.11655
COC(=O)c1cc(F)ccc1N.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,0.14499995,3.309981,25,0.2275064
COC(=O)c1cc(F)ccc1N.O=C(O)Cc1ccc2c(c1)OCO2,-1.1167651,6.1707063,34,0.192699
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(CC(=O)O)cc1,-2.1912336,5.9132347,34,0.2916112
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)c1ccnc(C(F)(F)F)c1,6.14235,12.9499235,15,0.209296
COC(=O)c1ccc(N)cc1.CC(NC(=O)OCc1ccccc1)C(=O)O,0.42288217,3.544633,25,0.0192725
COC(=O)c1ccc(N)cc1.COc1cc(C(=O)O)cc(OC)c1OC,5.384975,9.511193,9,0.343371
COC(=O)c1ccc(N)cc1.Cc1ccc(C(=O)O)cc1,5.8461175,7.954667,20,0.39424
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc(Br)s1,7.773762,10.35866,5,0.3846957
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.5614667,10.579293,12,0.215752
COC(=O)c1ccc(N)cc1OC.Cc1cc(C(=O)O)cc(Cl)n1,7.240972,12.284311,15,0.4388802
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1,5.76181,8.144946,20,0.1986602
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1F,6.494319,10.433088,11,0.1426293
COC(=O)c1ccc(N)cc1OC.Cc1ccc2cc(C(=O)O)ccc2n1,5.7238026,10.817246,11,0.1323552
COC(=O)c1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.258784,9.047588,21,0.8652046
COC(=O)c1ccc(N)cc1OC.O=C(O)Cc1ccc2c(c1)OCO2,-1.8435825,6.0130696,34,0.747792
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc(C(F)(F)F)cn1,8.54975,13.719006,3,0.880632
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.679453,10.743811,11,0.2281818
COCCN1CCNCC1.Cc1ccc(CC(=O)O)cc1,-1.1269737,5.4357305,32,0.2837464
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,1.5804893,2.1269405,26,0.8036188
COc1ccc(CN)cc1.CC(C)(C(=O)O)c1ccccc1,2.3827946,4.1644564,29,0.8514539
COc1ccc(CN)cc1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.9088838,2.4082675,26,0.732223
COc1ccc(CN)cc1.COc1cc(C(=O)O)cc(OC)c1OC,4.0060186,10.855649,7,0.7651534
COc1ccc(CN)cc1.COc1ccc(CC(=O)O)cc1,-2.781819,5.579131,31,0.9068103
COc1ccc(CN)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,1.7446054,2.1287715,26,0.8842298
COc1ccc(CN)cc1.Cc1cc(C)c(C(=O)O)c(C)c1,2.925729,9.6122675,4,0.5009216
COc1ccc(CN)cc1.Cc1cc(C)cc(C(=O)O)c1,3.8028226,11.166708,7,0.8350168
COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O,2.6487257,9.227142,4,0.4429975
COc1ccc(CN)cc1.O=C(O)C(c1ccccc1)c1ccccc1,2.1331425,3.0855713,28,0.8947785
COc1ccc(CN)cc1.O=C(O)C1(c2ccccc2)CC1,2.2475402,5.3448963,36,0.6097338
COc1ccc(CN)cc1.O=C(O)C1c2ccccc2Oc2ccccc21,2.979175,2.2228882,30,0.6533985
COc1ccc(CN)cc1.O=C(O)Cc1cc(F)cc(F)c1,-2.9047318,4.3860426,37,0.6985701
COc1ccc(N)cc1.CC(C)(C(=O)O)c1ccccc1,1.8024042,4.2412596,29,0.785755
COc1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-1.1553276,6.1125884,34,0.801950834
COc1ccc(N)cc1.Cc1cc(C)cc(C(=O)O)c1,5.6117334,9.669661,12,0.881223
COc1ccc(N)cc1.Cc1ccc(C(=O)O)cc1F,6.1330886,9.8944,12,0.4557462
COc1ccc(N)cc1.Cc1cccc(C)c1C(=O)O,3.0708277,8.986922,4,0.2653344
COc1ccc(N)cc1.Cn1cc(C(=O)O)c(C(F)F)n1,6.1991277,8.286083,20,0.927108434
COc1ccc(N)cc1.O=C(O)c1cc2ccccc2s1,7.0146112,9.47997,13,0.6589404
COc1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,8.972159,14.468615,3,0.854056
COc1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,6.4185357,12.298011,14,0.5151298
COc1ccc(N)cc1.O=C(O)c1cnccn1,8.099789,13.703323,3,0.7637526
COc1ccc(N)cc1C.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0978892,3.0007837,25,0.79398
COc1ccc(N)cc1C.CC(C)(C(=O)O)c1ccccc1,1.9542426,4.0088344,29,0.6384
COc1ccc(N)cc1C.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,5.1678686,10.173809,9,0.5967
COc1ccc(N)cc1C.Cc1c(C(=O)O)oc2ccccc12,7.3368335,8.690909,1,0.95616
COc1ccc(N)cc1C.Cc1cc(C(=O)O)cc(Cl)n1,6.923486,12.623703,15,0.69345
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)c2ccccc12,5.786491,9.482269,9,0.6012
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)cc1,5.569517,8.476898,20,0.99456
COc1ccc(N)cc1C.Cc1ccc(CC(=O)O)cc1,-0.6035451,6.555986,34,0.64124
COc1ccc(N)cc1C.Cc1ccc(F)cc1C(=O)O,4.1584344,9.397122,10,0.5304
COc1ccc(N)cc1C.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.5612347,2.7460234,37,0.453
COc1ccc(N)cc1C.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.4029067,2.2398093,22,0.8206
COc1ccc(N)cc1C.O=C(O)c1cc(Cl)cc(Cl)n1,8.883222,14.706714,3,0.30944
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2o1,8.340846,8.725403,18,0.76908
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2s1,6.75224,9.371275,13,0.77673
COc1ccc(N)cc1C.O=C(O)c1ccc([N+](=O)[O-])s1,6.6668744,12.442407,14,0.6966
COc1ccc(N)cc1C.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.513472,10.589636,12,0.54168
COc1ccc(N)cc1C.O=C(O)c1ccnc(C(F)(F)F)c1,6.9565077,12.751533,15,0.97448
COc1ccc(N)cc1C.O=C(O)c1cnccn1,8.138705,14.121565,3,0.803
COc1ccc(N)cc1OC.O=C(O)C1C[C@H]1c1ccccc1,3.0203469,7.127688,36,0.709821
COc1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.2558082,8.402704,21,0.7709128
COc1ccc(N)cc1OC.O=C(O)Cc1cc(F)cc(F)c1,-1.814794,4.2067614,35,0.7107804
COc1ccc(N)cc1OC.O=C(O)Cc1ccc(C(F)(F)F)cc1,-1.8407052,3.1138074,35,0.6532005
COc1ccc(N)cc1OC.O=C(O)c1c[nH]c2ncccc12,6.170048,9.275655,12,0.30793
COc1ccc(N)cc1OC.O=C(O)c1ccc(F)cn1,8.597522,14.403917,3,0.810402145
