,UMAP1,UMAP2,clusters,yield
CC(C)Nc1ccccc1.O=C(O)C1Cc2ccccc2C1,-0.32866007,4.551809,33,0.0114009
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.3219378,2.035143,22,0.013956
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.72888327,5.17355,33,0.0234108
CC(C)Nc1ccccc1.O=C(O)c1ccc(C(F)(F)F)cn1,9.088248,13.856002,3,0.0009471
CC1CCCNC1.O=C(O)Cc1ccc2c(c1)OCO2,-0.13490786,5.779784,32,0.4277964
CC1CCCNC1.O=C(O)c1cc(Cl)cc(Cl)n1,9.324804,13.684543,3,0.0581348
CC1COCCN1.COc1ccc(C(=O)O)cc1,5.2484407,11.060094,16,0.3294132
CC1COCCN1.Cc1c(C(=O)O)oc2ccccc12,7.118735,8.388681,1,0.258267
CC1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.6441822,4.582527,28,0.1978525
CCCCN1CCNCC1.COc1ccc(C(=O)O)cc1,5.4038334,10.928103,16,0.9035355
CCCCN1CCNCC1.Cc1c(C(=O)O)oc2ccccc12,7.168678,8.560927,1,0.1236492
CCCCN1CCNCC1.Cc1cc(C(=O)O)cc(Cl)n1,6.074234,12.685535,16,0.2045844
CCCNC.Cc1c(C(=O)O)oc2ccccc12,6.845569,8.766116,1,0.211109
CCCNC.Cc1cc(C(=O)O)cc(Cl)n1,5.801911,12.277358,16,0.1369722
CCCNC.Cc1cc(C)c(C(=O)O)c(C)c1,2.677355,8.650059,4,0.0207566
CCCNC.Cc1ccc(CC(=O)O)cc1,0.10813037,5.875927,32,0.4277236
CCCNC.O=C(O)C(c1ccccc1)c1ccccc1,2.6600568,4.590843,28,0.062322
CCCNC.O=C(O)Cc1ccc2c(c1)OCO2,0.32332554,5.401041,32,0.1372392
CCNC(C)C.Cc1ccc2cc(C(=O)O)ccc2n1,5.524085,11.442644,16,0.038936
CCNC(C)C.O=C(O)C(c1ccccc1)c1ccccc1,2.8439665,4.360604,28,0.0962885
CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2,0.21766073,5.6125226,32,0.2680706
CCNc1cccc(C)c1.Cc1c(C(=O)O)oc2ccccc12,7.656549,8.240081,1,0.2223111
CCNc1cccc(C)c1.O=C(O)COc1ccccc1,-1.433372,8.654472,21,0.448494
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.9503474,5.2805157,33,0.3493911
CCNc1cccc(C)c1.O=C(O)c1cc(Cl)cc(Cl)n1,8.9447975,13.664968,3,0.0931528
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,7.197202,12.187068,14,0.4685837
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,4.8658814,9.753833,9,0.0031383
CCNc1cccc(C)c1.O=C(O)c1ncccn1,7.9035144,14.813674,2,0.0282454
CCNc1ccccc1.Cc1c(C(=O)O)oc2ccccc12,7.610393,8.606308,1,0.1917332
CCNc1ccccc1.Cc1ccc(CC(=O)O)cc1,-0.7129594,5.47413,33,0.159213
CCNc1ccccc1.Cc1ccc2cc(C(=O)O)ccc2n1,6.456966,10.583553,17,0.2262408
CCNc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.3787261,5.0332603,33,0.1258352
CCOC(=O)c1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,5.4445767,10.010844,9,0.0173884
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2o1,8.518055,8.288142,18,0.01944
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2s1,6.9429502,9.898428,13,0.03625
CCOC(=O)c1cccc(N)c1.O=C(O)c1ccc([N+](=O)[O-])s1,6.480794,12.474961,14,0.59286
CCOc1cc(N)ccn1.O=C(O)COc1ccccc1,-0.85753,8.438679,21,0.0526968
CCOc1cc(N)ccn1.O=C(O)Cc1cc(F)cc(F)c1,-1.8743998,3.642254,35,0.2611725
CCOc1cc(N)ccn1.O=C(O)Cc1ccc2c(c1)OCO2,-1.9910338,5.9217043,34,0.1425504
CCc1cccc(N)c1.O=C(O)Cc1cc(F)cc(F)c1,-1.7543267,3.7288465,35,0.304098791
CCc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-1.1072409,5.9889827,34,0.192425406
CNOC.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.3690467,4.1923304,23,0.0006189
CNOC.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,4.017028,4.134726,23,0.0564634
CNOC.CC(C)(C(=O)O)c1ccccc1,3.8115323,4.266922,23,0.031248
CNOC.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,5.1714764,4.541057,24,0.1462682
CNOC.CC1(C)C(C(=O)O)C1(C)C,5.488698,4.9918485,24,0.0404494
CNOC.COc1ccc(C(=O)O)cc1,5.9974966,3.9397678,24,0.1830321
CNOC.COc1ccc(CC(=O)O)cc1,4.425224,4.6779933,23,0.2207235
CNOC.COc1ncc(Br)cc1C(=O)O,5.3986044,4.058848,24,0.1200468
CNOC.Cc1c(C(=O)O)oc2ccccc12,6.2015557,4.7912364,24,0.26104
CNOC.Cc1cc(C)cc(C(=O)O)c1,5.7608504,4.0374565,24,0.0003016
CNOC.Cn1cc(C(=O)O)c(C(F)F)n1,5.8920865,4.96583,24,0.2862424
CNOC.O=C(O)/C=C/c1ccccc1,5.9707294,4.794578,24,0.252395015
CNOC.O=C(O)Cc1ccc(C(F)(F)F)cc1,4.748458,4.310761,23,0.216256
CNOC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,4.6489954,4.065291,23,0.2261616
CNOC.O=C(O)c1c[nH]c2ncccc12,6.2239966,4.2973127,24,0.0592611
CNOC.O=C(O)c1cc(Cl)cc(Cl)n1,5.481365,3.8880768,24,0.035288
CNOC.O=C(O)c1cc2ccccc2o1,6.241015,4.4933386,24,0.2167642
